timeline,株式会社マルゼン
2009-02,$0.05B
2009-03,$0.06B
2009-04,$0.06B
2009-05,$0.07B
2009-06,$0.08B
2009-07,$0.08B
2009-08,$0.08B
2009-09,$0.08B
2009-10,$0.08B
2009-11,$0.07B
2009-12,$0.08B
2010-01,$0.09B
2010-02,$0.08B
2010-03,$0.09B
2010-04,$0.09B
2010-05,$0.08B
2010-06,$0.08B
2010-07,$0.08B
2010-08,$0.08B
2010-09,$0.08B
2010-11,$0.08B
2010-12,$0.09B
2011-01,$0.09B
2011-02,$0.09B
2011-03,$0.09B
2011-04,$0.09B
2011-05,$0.09B
2011-06,$0.09B
2011-08,$0.08B
2011-09,$0.08B
2011-11,$0.08B
2011-12,$0.09B
2012-01,$0.09B
2012-02,$0.09B
2012-03,$0.09B
2012-04,$0.09B
2012-05,$0.08B
2012-06,$0.1B
2012-07,$0.09B
2012-08,$0.09B
2012-09,$0.09B
2012-11,$0.09B
2012-12,$0.1B
2013-01,$0.12B
2013-03,$0.13B
2013-04,$0.14B
2013-06,$0.13B
2013-07,$0.14B
2013-09,$0.15B
2013-10,$0.14B
2013-11,$0.15B
2014-01,$0.16B
2014-03,$0.15B
2014-06,$0.16B
2014-09,$0.17B
2014-10,$0.16B
2014-11,$0.18B
2015-01,$0.17B
2015-05,$0.18B
2015-06,$0.19B
2015-08,$0.17B
2015-09,$0.16B
2016-02,$0.15B
2016-04,$0.16B
2016-09,$0.17B
2016-10,$0.18B
2016-12,$0.19B
2017-01,$0.2B
2017-02,$0.21B
2017-03,$0.2B
2017-05,$0.21B
2017-06,$0.25B
2017-07,$0.3B
2017-08,$0.25B
2017-09,$0.32B
2017-10,$0.31B
2017-11,$0.32B
2017-12,$0.35B
2018-01,$0.38B
2018-03,$0.35B
2018-04,$0.37B
2018-06,$0.36B
2018-07,$0.32B
2018-08,$0.29B
2018-09,$0.32B
2018-10,$0.33B
2018-11,$0.34B
2018-12,$0.28B
2019-01,$0.34B
2019-02,$0.32B
2019-03,$0.3B
2019-04,$0.33B
2019-05,$0.34B
2019-06,$0.33B
2019-07,$0.3B
2019-08,$0.26B
2019-09,$0.29B
2019-10,$0.27B
2019-11,$0.29B
2019-12,$0.3B
2020-02,$0.28B
2020-03,$0.27B
2020-05,$0.24B
2020-06,$0.26B
2020-07,$0.26B
2020-08,$0.26B
2020-09,$0.26B
2020-10,$0.25B
2020-11,$0.26B
2020-12,$0.27B
2021-02,$0.27B
2021-03,$0.28B
2021-04,$0.31B
2021-05,$0.31B
2021-06,$0.32B
2021-07,$0.34B
2021-08,$0.34B
2021-09,$0.31B
2021-10,$0.33B
2021-11,$0.32B
2021-12,$0.3B
